# obsid ra dec l b teff logg feh rv Mgb MK MKerr_low MKerr_up AK K dist disterr_low disterr_up Z R r_gc lnnu
49706101 222.17123 +28.88282 43.72731 +64.12638 4542 1.08 -2.24 -208 0.50499 -4.50 0.60 0.74 0.135 9.639 6.32 1.83 2.01 5.71 6.30 8.51 -13.26
335615033 161.38676 +3.75301 245.26879 +51.93202 4489 0.92 -2.38 120 0.60896 -5.12 0.24 0.34 0.132 10.043 10.14 1.47 1.19 8.01 12.04 14.46 -12.90
309508088 172.78963 +22.60103 222.49410 +71.25993 4627 1.20 -2.39 -9 0.80366 -4.46 0.54 0.64 0.126 13.128 31.08 7.93 8.77 29.46 16.78 33.90 -16.84
309605007 199.24022 +17.63474 336.06827 +78.82807 4405 0.76 -2.38 33 0.44821 -5.32 0.14 0.22 0.062 12.295 32.40 3.12 2.16 31.81 3.41 31.99 -14.72
346013172 208.20631 +39.30260 80.42826 +72.35501 4386 0.64 -2.35 -268 0.29523 -5.36 0.14 0.20 0.073 9.606 9.52 0.84 0.63 9.10 8.04 12.14 -12.85
96205204 184.28452 +4.25404 281.74572 +65.70500 4623 1.32 -2.31 272 0.66851 -4.30 0.66 0.84 0.129 11.418 13.12 4.21 4.66 11.98 8.69 14.80 -13.11
32206216 179.95546 +56.89576 136.56802 +58.84507 4604 1.23 -2.06 -15 0.46193 -4.14 0.84 1.06 0.102 12.244 18.05 6.97 8.52 15.47 16.11 22.34 -15.33
211011003 226.58179 +35.58106 57.81191 +60.15164 4704 1.52 -2.11 -118 0.65753 -3.58 0.90 1.02 0.107 11.047 8.02 3.00 4.12 6.98 6.78 9.73 -11.73
32115045 141.54782 +18.03735 212.58046 +42.07990 4677 1.46 -2.32 190 0.60052 -4.08 0.76 0.92 0.078 11.813 14.55 5.03 6.10 9.78 18.06 20.54 -12.43
82610175 5.39357 +24.13560 114.24959 -38.23217 4639 1.38 -2.27 -14 0.44062 -3.52 1.10 1.30 0.059 10.095 5.14 2.32 3.39 -3.16 10.34 10.81 -10.86
221413182 155.15746 +14.27218 225.32488 +52.64012 4492 0.99 -2.29 45 0.73255 -4.86 0.42 0.56 0.202 11.317 15.67 3.56 3.34 12.48 16.17 20.42 -15.06
143405022 202.42061 +46.46120 104.09661 +69.24344 4301 0.61 -1.76 -68 0.64505 -5.44 0.20 0.30 0.135 10.380 13.71 1.77 1.32 12.85 10.32 16.48 -13.79
237303224 170.62520 +3.99452 256.49933 +58.60271 4783 1.72 -2.12 385 0.55767 -3.58 0.68 0.72 0.096 8.487 2.48 0.70 0.91 2.14 8.40 8.66 -8.94
341611022 136.69928 +16.82368 211.88492 +37.32764 4572 1.15 -2.24 111 0.65433 -4.82 0.30 0.36 0.129 8.749 4.87 0.74 0.72 2.98 11.48 11.86 -10.79
